Date,Close,Volume,Open,High,Low
9/9/2026,315.34,65639960,315.49,319.15,309.90
9/8/2026,316.22,35477090,317.10,320.70,314.90
9/4/2026,319.97,39606880,328.31,328.93,317.86
9/3/2026,328.21,37225840,324.87,330.81,324.11
9/2/2026,324.96,33776370,326.87,328.40,323.53
9/1/2026,325.13,53167390,316.98,327.30,314.73
8/31/2026,316.85,41242720,319.60,321.24,312.80
8/28/2026,319.70,38649400,316.85,322.37,315.45
8/27/2026,314.58,32419230,310.55,315.40,309.40
8/26/2026,313.45,34024490,310.30,315.43,308.80
8/25/2026,309.90,25869810,310.79,313.59,308.21
8/24/2026,310.34,34673580,311.47,313.36,309.97
8/21/2026,309.35,46876820,312.05,312.38,307.01
8/20/2026,311.30,40959180,317.46,320.28,310.65
8/19/2026,316.83,50505650,310.14,319.28,309.60
8/18/2026,310.03,53424540,307.58,311.49,305.74
8/17/2026,305.59,38169260,306.21,307.66,302.94
8/14/2026,305.93,28229380,306.00,307.49,304.30
8/13/2026,305.26,40349290,304.21,306.00,302.05
8/12/2026,302.25,41657770,305.10,305.66,300.57
8/11/2026,304.91,37476750,307.75,309.97,302.79
8/10/2026,308.26,44812500,306.83,308.26,304.61
8/7/2026,313.33,34437190,311.45,314.81,310.74
8/6/2026,312.41,46139900,314.34,316.29,309.23
8/5/2026,311.00,49438760,309.36,311.71,305.67
8/4/2026,309.38,68000970,302.73,310.42,301.32
8/3/2026,303.42,75051950,309.58,311.80,302.56
7/31/2026,308.91,132489100,304.81,310.69,300.00
7/30/2026,333.43,74817790,333.10,334.75,329.59
7/29/2026,338.19,56090840,339.73,344.57,337.35
7/28/2026,340.08,51859040,340.03,342.89,335.60
7/27/2026,336.91,49604300,334.54,339.57,334.02
7/24/2026,333.02,47489420,321.79,334.37,321.62
7/23/2026,321.66,40840780,321.73,323.30,319.35
7/22/2026,325.89,38755930,327.87,329.00,323.34
7/21/2026,327.74,41338920,323.13,329.60,322.22
7/20/2026,326.59,53468010,333.51,333.71,323.68
7/17/2026,333.74,63407060,331.98,334.99,329.00
7/16/2026,333.26,62970620,328.01,334.68,326.79
7/15/2026,327.50,60957640,317.62,328.73,317.32
7/14/2026,314.86,36336830,313.76,316.19,311.91
7/13/2026,317.31,43257800,317.02,323.45,315.78
7/10/2026,315.32,34132320,314.72,316.91,312.17
7/9/2026,316.22,48124490,310.51,316.53,308.16
7/8/2026,313.39,41323480,311.91,314.82,307.05
7/7/2026,310.66,42490000,315.29,315.48,310.15
