Date,Open,High,Low,Close,Volume,Adj Close*
8-Oct-14,41,41.29,40.1,41.08,"26,571,400",41.08
7-Oct-14,41.06,41.29,40.78,40.93,"22,519,300",40.93
6-Oct-14,41.2,41.73,41.04,41.52,"23,552,300",41.52
3-Oct-14,40.79,41.69,40.65,41.03,"38,173,300",41.03
2-Oct-14,40.24,40.64,39.69,40.5,"24,584,400",40.5
1-Oct-14,40.66,41.24,40.11,40.32,"35,159,800",40.32
30-Sep-14,40.58,41.23,40.44,40.75,"30,350,700",40.75
29-Sep-14,40.41,41.09,40.16,40.52,"35,846,000",40.52
26-Sep-14,39.01,40.8,39,40.66,"62,064,700",40.66
25-Sep-14,39.56,39.8,38.82,38.95,"35,859,400",38.95
24-Sep-14,39.26,40.1,38.91,39.88,"48,972,200",39.88
23-Sep-14,38.15,39.27,37.9,39.05,"66,078,500",39.05
22-Sep-14,39.77,40.04,38.22,38.65,"108,974,200",38.65
19-Sep-14,42.44,43.19,39.55,40.93,"233,687,300",40.93
18-Sep-14,43.05,43.32,41.42,42.09,"93,321,700",42.09
17-Sep-14,42.37,42.96,42.3,42.59,"39,456,500",42.59
16-Sep-14,42.61,42.96,41.69,42.71,"61,386,400",42.71
15-Sep-14,43.98,44.01,42.14,42.55,"71,781,500",42.55
12-Sep-14,41.73,43.2,41.5,42.88,"69,556,500",42.88
11-Sep-14,41.02,41.56,40.93,41.26,"25,203,000",41.26
10-Sep-14,41.05,41.23,40.33,41.14,"30,712,600",41.14
9-Sep-14,42.01,42.06,40.6,40.78,"52,613,900",40.78
8-Sep-14,40.34,41.82,40.26,41.81,"75,327,900",41.81
5-Sep-14,39.05,39.8,39.05,39.59,"25,808,300",39.59
4-Sep-14,39.14,39.34,38.96,39.19,"14,732,500",39.19
3-Sep-14,39.49,39.6,38.69,38.87,"16,051,600",38.87
2-Sep-14,38.9,39.3,38.79,39.27,"19,773,200",39.27
29-Aug-14,38.57,38.67,38.2,38.51,"11,617,100",38.51
28-Aug-14,38.09,38.57,37.9,38.31,"16,477,000",38.31
27-Aug-14,38.3,38.72,37.83,38.18,"24,806,700",38.18
26-Aug-14,37.76,37.92,37.56,37.79,"9,516,800",37.79
25-Aug-14,38.14,38.22,37.54,37.71,"14,356,400",37.71
22-Aug-14,37.7,38.2,37.64,38.01,"14,879,100",38.01
21-Aug-14,37.65,37.75,37.31,37.64,"12,254,900",37.64
20-Aug-14,37.61,37.75,37.31,37.5,"12,653,900",37.5
19-Aug-14,37.56,37.94,37.5,37.83,"17,084,900",37.83
18-Aug-14,36.77,37.77,36.75,37.38,"20,153,200",37.38
15-Aug-14,36.2,36.57,36.12,36.47,"13,338,900",36.47
14-Aug-14,36.32,36.42,36.17,36.36,"8,927,300",36.36
13-Aug-14,35.96,36.45,35.77,36.19,"16,532,300",36.19
12-Aug-14,35.8,35.99,35.15,35.52,"12,902,700",35.52
11-Aug-14,36.1,36.15,35.75,35.79,"8,660,100",35.79
8-Aug-14,35.73,35.96,35.4,35.91,"10,593,700",35.91
7-Aug-14,36,36,35.53,35.66,"11,306,600",35.66
6-Aug-14,35.58,35.94,35.44,35.79,"11,770,500",35.79
5-Aug-14,36.32,36.42,35.62,35.7,"17,636,400",35.7
4-Aug-14,35.71,36.66,35.65,36.53,"13,097,200",36.53
1-Aug-14,35.69,36.08,35.31,35.62,"14,573,000",35.62
31-Jul-14,36.26,36.49,35.68,35.81,"17,937,400",35.81
30-Jul-14,35.94,36.99,35.8,36.6,"29,876,700",36.6
29-Jul-14,35.91,36.16,35.67,35.68,"11,570,900",35.68
28-Jul-14,36.23,36.23,35.51,35.9,"14,607,200",35.9
25-Jul-14,36,36.33,35.75,36.12,"20,143,800",36.12
24-Jul-14,35.09,36.55,35.04,36.17,"47,391,000",36.17
23-Jul-14,33.78,34.92,33.68,34.71,"38,622,500",34.71
22-Jul-14,33.48,33.84,33.4,33.6,"18,153,600",33.6
21-Jul-14,33.35,33.64,33.16,33.28,"18,431,000",33.28
18-Jul-14,33.18,33.35,32.93,33.33,"21,540,900",33.33
17-Jul-14,33.82,33.9,32.98,33.21,"37,535,900",33.21
16-Jul-14,34.42,34.45,33.72,33.79,"56,260,600",33.79
15-Jul-14,35.72,35.94,35.2,35.61,"36,316,600",35.61
14-Jul-14,35.8,35.95,35.45,35.7,"18,680,500",35.7
11-Jul-14,34.95,35.56,34.78,35.43,"18,379,500",35.43
10-Jul-14,34.33,34.97,34.1,34.93,"18,064,800",34.93
9-Jul-14,34.68,35.07,34.68,34.85,"12,626,900",34.85
8-Jul-14,35.64,35.66,34.28,34.53,"23,096,900",34.53
* Close price adjusted for dividends and splits.,,,,,,
