id,treatment,n_answered,complete,councillor,role,role_text,finished,gender,age,age_group,residence,town_size,years_planning,n_status_quo
1,1,4,1,0,Policy staff,,1,Male,34.0,2.0,Urban,"50,000+",,0
2,3,4,1,0,Other,Projects,1,Male,50.0,4.0,Rural,"15,000-50,000",5.0,0
3,3,4,1,1,Councillor,,1,Male,69.0,5.0,Urban,"15,000-50,000",9.0,0
4,2,4,1,0,Policy staff,,1,Male,62.0,5.0,Urban,"50,000+",40.0,0
5,2,4,1,1,Councillor,,1,Male,,,Rural,"50,000+",8.0,1
6,1,4,1,1,Councillor,,1,Male,65.0,5.0,Rural,"15,000-50,000",23.0,0
7,1,4,1,1,Councillor,,1,Male,63.0,5.0,Urban,"50,000+",17.0,2
8,3,4,1,1,Councillor,,1,Male,63.0,5.0,Rural,"<5,000",,1
9,1,4,1,1,Councillor,,1,Male,58.0,4.0,Urban,"50,000+",26.0,2
10,3,4,1,0,Policy staff,,1,Male,37.0,2.0,Urban,"50,000+",,2
11,2,4,1,1,Councillor,,1,Male,74.0,6.0,Rural,"<5,000",5.0,0
12,1,4,1,1,Councillor,,1,Male,65.0,5.0,Rural,"50,000+",,1
13,3,4,1,0,Policy staff,,1,Male,50.0,4.0,Urban,"50,000+",20.0,1
14,2,4,1,1,Councillor,,1,Female,66.0,5.0,Urban,"50,000+",5.0,0
15,1,4,1,1,Councillor,,1,Male,68.0,5.0,Urban,"15,000-50,000",2.0,1
16,2,4,1,0,Policy staff,,1,Male,60.0,5.0,Rural,"50,000+",37.0,1
17,2,4,1,1,Councillor,,1,Male,63.0,5.0,Rural,"50,000+",9.0,0
18,1,4,1,1,Councillor,,1,Female,49.0,3.0,Urban,"<5,000",,4
19,3,4,1,0,Other,Both policy and consents,1,Female,25.0,1.0,Rural,"<5,000",2.0,0
20,3,4,1,1,Councillor,,1,Male,65.0,5.0,Urban,"50,000+",,0
21,1,4,1,1,Councillor,,1,Female,47.0,3.0,Urban,"15,000-50,000",5.0,0
22,1,3,0,1,Councillor,,1,Female,47.0,3.0,Urban,"15,000-50,000",,0
23,1,4,1,1,Councillor,,1,Male,47.0,3.0,Urban,"15,000-50,000",5.0,4
24,2,4,1,0,Policy staff,,1,Male,64.0,5.0,Rural,"15,000-50,000",33.0,0
25,2,4,1,1,Councillor,,1,Male,68.0,5.0,Urban,"15,000-50,000",2.0,0
26,3,4,1,1,Councillor,,1,Female,56.0,4.0,Rural,"<5,000",2.0,1
27,3,4,1,1,Councillor,,1,Female,70.0,6.0,Rural,"15,000-50,000",18.0,0
28,1,4,1,0,Policy staff,,1,Male,44.0,3.0,Urban,"5,000-15,000",19.0,0
29,1,4,1,1,Councillor,,1,Male,43.0,3.0,Rural,"5,000-15,000",2.0,1
30,2,4,1,0,Policy staff,,1,Male,32.0,2.0,Urban,"50,000+",8.0,0
31,3,4,1,0,Not answered,,1,Female,43.0,3.0,Urban,,,1
32,2,2,0,1,Councillor,,1,Female,75.0,6.0,Urban,"15,000-50,000",28.0,0
33,2,4,1,1,Councillor,,1,Male,80.0,6.0,Urban,"50,000+",18.0,0
34,3,4,1,0,Other,Farmer on both sides of Shannon Town Boundary,1,Male,70.0,6.0,Rural,"15,000-50,000",,0
36,1,4,1,1,Councillor,,1,Male,55.0,4.0,Urban,"50,000+",8.0,0
37,2,4,1,1,Councillor,,1,Female,58.0,4.0,Urban,"50,000+",5.0,2
38,3,4,1,1,Councillor,,1,Male,73.0,6.0,Urban,"15,000-50,000",12.0,2
39,1,4,1,1,Other,Councillor but also Resource Consent Hearing Commissioner,1,Male,60.0,5.0,Rural,"15,000-50,000",13.0,4
40,2,4,1,1,Councillor,,1,Female,44.0,3.0,Rural,"15,000-50,000",5.0,0
41,3,4,1,1,Councillor,,1,Male,59.0,4.0,Rural,"15,000-50,000",12.0,4
42,1,4,1,1,Councillor,,1,Male,56.0,4.0,Urban,"5,000-15,000",6.0,2
43,2,4,1,1,Councillor,,1,Male,69.0,5.0,Urban,"5,000-15,000",6.0,1
44,2,4,1,0,Not answered,,1,Female,58.0,4.0,Rural,,,0
45,1,4,1,1,Councillor,,1,Male,,,Urban,"<5,000",,0
46,3,4,1,1,Councillor,,1,,69.0,5.0,Rural,"5,000-15,000",2.0,0
47,2,4,1,1,Councillor,,1,Male,61.0,5.0,Urban,"5,000-15,000",5.0,0
48,1,4,1,1,Councillor,,1,Male,50.0,4.0,Urban,"50,000+",24.0,1
49,3,4,1,1,Councillor,,1,Male,70.0,6.0,Rural,"50,000+",7.0,0
50,1,4,1,1,Councillor,,1,Female,68.0,5.0,Rural,"15,000-50,000",15.0,0
51,2,4,1,1,Councillor,,1,Male,55.0,4.0,Rural,"15,000-50,000",,0
52,2,4,1,0,Compliance staff,,1,Female,57.0,4.0,Urban,"50,000+",30.0,0
53,1,4,1,1,Councillor,,1,Male,64.0,5.0,Urban,"50,000+",30.0,0
54,3,4,1,1,Councillor,,1,Male,60.0,5.0,Urban,"50,000+",,0
55,1,4,1,0,Not answered,,1,Male,,,Urban,,,0
56,3,4,1,0,Compliance staff,,1,Female,22.0,1.0,Urban,"<5,000",1.0,0
57,2,4,1,0,Science staff,,1,Male,56.0,4.0,Rural,"15,000-50,000",,3
58,2,4,1,1,Councillor,,1,Female,46.0,3.0,Rural,"5,000-15,000",,0
59,3,4,1,1,Councillor,,1,Male,65.0,5.0,Rural,"5,000-15,000",50.0,1
60,2,3,0,0,Compliance staff,,1,Male,39.0,2.0,Urban,"15,000-50,000",12.0,0
61,2,4,1,1,Councillor,,1,Male,53.0,4.0,Urban,"15,000-50,000",5.0,0
62,1,4,1,0,Compliance staff,,1,Female,39.0,2.0,Rural,"15,000-50,000",,4
63,3,4,1,1,Councillor,,1,Female,60.0,5.0,Rural,"5,000-15,000",6.0,0
64,3,4,1,1,Councillor,,1,Female,61.0,5.0,Rural,"5,000-15,000",,1
65,3,4,1,1,Councillor,,1,Male,45.0,3.0,Urban,"50,000+",14.0,0
66,1,4,1,1,Councillor,,1,Male,71.0,6.0,Urban,"15,000-50,000",,1
67,1,4,1,1,Councillor,,1,Male,51.0,4.0,Rural,"<5,000",8.0,4
68,2,4,1,1,Councillor,,1,Male,53.0,4.0,Rural,"<5,000",7.0,0
69,3,4,1,1,Councillor,,1,Female,58.0,4.0,Rural,"5,000-15,000",2.0,4
70,2,4,1,1,Councillor,,1,Male,70.0,6.0,Urban,"15,000-50,000",,0
71,2,4,1,1,Councillor,,1,Male,52.0,4.0,Urban,"15,000-50,000",8.0,1
72,3,4,1,0,Policy staff,,1,Male,48.0,3.0,Urban,"50,000+",,1
73,1,4,1,0,Not answered,,1,Female,,,Urban,"15,000-50,000",10.0,3
74,1,4,1,1,Councillor,,1,Female,26.0,1.0,Urban,"50,000+",2.0,2
75,2,4,1,0,Policy staff,,1,Female,36.0,2.0,Rural,"5,000-15,000",12.0,0
76,3,4,1,1,Councillor,,1,Female,54.0,4.0,Urban,"50,000+",5.0,1
77,1,4,1,1,Councillor,,1,Male,59.0,4.0,Rural,"5,000-15,000",8.0,0
78,2,4,1,1,Councillor,,1,Male,68.0,5.0,Urban,"50,000+",32.0,1
79,3,4,1,1,Councillor,,1,Female,57.0,4.0,Rural,"5,000-15,000",,1
80,1,4,1,0,Not answered,,1,Male,56.0,4.0,Rural,,,3
81,2,4,1,0,Other,Consultant,1,Male,62.0,5.0,Urban,"5,000-15,000",43.0,1
82,3,4,1,1,Councillor,,1,Female,,,Rural,"50,000+",,0
83,1,4,1,1,Councillor,,1,Male,60.0,5.0,Urban,"15,000-50,000",,2
84,2,4,1,0,Policy staff,,1,Female,40.0,3.0,Rural,"15,000-50,000",15.0,0
85,1,4,1,1,Councillor,,1,Male,55.0,4.0,Rural,"15,000-50,000",20.0,3
86,3,4,1,1,Councillor,,1,Male,58.0,4.0,Urban,"5,000-15,000",,4
87,3,4,1,1,Councillor,,1,Female,68.0,5.0,Rural,"15,000-50,000",2.0,0
88,1,4,1,1,Councillor,,1,Male,75.0,6.0,Rural,"15,000-50,000",18.0,2
89,2,3,0,1,Other,Councillor chairman of planning committee ,1,Male,65.0,5.0,Rural,"<5,000",14.0,0
90,1,4,1,0,Other,director,1,Male,44.0,3.0,Urban,"5,000-15,000",15.0,1
91,2,4,1,1,Councillor,,1,Male,34.0,2.0,Urban,"50,000+",2.0,1
92,3,4,1,0,Not answered,,1,Male,66.0,5.0,Urban,"50,000+",8.0,2
93,1,4,1,0,Policy staff,,1,Female,51.0,4.0,Urban,"<5,000",,0
94,1,4,1,0,Policy staff,,1,Male,40.0,3.0,Urban,"50,000+",9.0,1
95,3,4,1,1,Councillor,,1,Female,57.0,4.0,Urban,"15,000-50,000",,3
