treatment,card,ours,paper,match
1,1,18,18,True
1,2,19,19,True
1,3,19,19,True
1,4,22,22,True
1,5,18,18,True
1,6,17,17,True
1,7,18,18,True
1,8,21,21,True
1,9,19,19,True
1,10,21,21,True
1,11,18,18,True
1,12,18,18,True
2,1,17,17,True
2,2,15,15,True
2,3,20,20,True
2,4,18,18,True
2,5,17,17,True
2,6,20,20,True
2,7,18,18,True
2,8,19,19,True
2,9,15,15,True
2,10,18,18,True
2,11,17,17,True
2,12,14,14,True
3,1,19,19,True
3,2,20,20,True
3,3,20,20,True
3,4,16,16,True
3,5,18,18,True
3,6,18,18,True
3,7,14,14,True
3,8,22,22,True
3,9,17,17,True
3,10,18,18,True
3,11,20,20,True
3,12,18,18,True
