model,variable,paper_coef,ours_coef,paper_p,ours_p
(1) CL · All,dev_limited,4.26,4.26,0.0,0.0
(2) CL · Councillors,dev_limited,4.114,4.115,0.0,0.0
(3) ML · All,dev_limited,6.819,8.852,0.002,0.002
(4) ML · Councillors,dev_limited,6.878,8.646,0.011,0.008
(1) CL · All,dev_high,4.553,4.553,0.0,0.0
(2) CL · Councillors,dev_high,4.545,4.545,0.0,0.0
(3) ML · All,dev_high,6.259,8.157,0.006,0.003
(4) ML · Councillors,dev_high,6.554,8.047,0.013,0.013
(1) CL · All,dev_com,4.112,4.112,0.0,0.0
(2) CL · Councillors,dev_com,4.184,4.184,0.0,0.0
(3) ML · All,dev_com,6.387,7.782,0.002,0.001
(4) ML · Councillors,dev_com,6.663,8.455,0.005,0.012
(1) CL · All,wat_med,-3.954,-3.954,0.0,0.0
(2) CL · Councillors,wat_med,-0.393,-3.891,0.0,0.0
(3) ML · All,wat_med,-7.324,-9.195,0.0,0.0
(4) ML · Councillors,wat_med,-7.578,-8.637,0.0,0.001
(1) CL · All,wat_low,-6.135,-6.135,0.0,0.0
(2) CL · Councillors,wat_low,-0.602,-6.184,0.0,0.0
(3) ML · All,wat_low,-14.95,-16.627,0.0,0.0
(4) ML · Councillors,wat_low,-19.02,-18.973,0.001,0.004
(1) CL · All,cult_s,-0.822,-0.822,0.08,0.08
(2) CL · Councillors,cult_s,-0.758,-0.758,0.15,0.15
(3) ML · All,cult_s,-1.239,-1.519,0.294,0.238
(4) ML · Councillors,cult_s,-2.131,-1.829,0.244,0.265
(1) CL · All,cult_sl,-1.672,-1.673,0.031,0.001
(2) CL · Councillors,cult_sl,-1.85,-1.85,0.001,0.001
(3) ML · All,cult_sl,-2.765,-3.753,0.08,0.041
(4) ML · Councillors,cult_sl,-2.366,-3.396,0.164,0.06
(1) CL · All,lim_money,0.205,0.205,0.452,0.452
(2) CL · Councillors,lim_money,0.084,0.084,0.79,0.79
(3) ML · All,lim_money,1.29,1.446,0.187,0.24
(4) ML · Councillors,lim_money,2.65,1.439,0.109,0.301
(1) CL · All,res_money,0.67,0.699,0.018,0.018
(2) CL · Councillors,res_money,0.647,0.647,0.058,0.058
(3) ML · All,res_money,3.222,3.211,0.015,0.024
(4) ML · Councillors,res_money,3.45,3.544,0.062,0.065
(1) CL · All,com_money,0.308,0.308,0.282,0.282
(2) CL · Councillors,com_money,0.254,0.254,0.433,0.433
(3) ML · All,com_money,1.754,1.574,0.082,0.169
(4) ML · Councillors,com_money,2.225,1.065,0.166,0.47
(1) CL · All,med_money,-0.473,-0.473,0.076,0.076
(2) CL · Councillors,med_money,-0.299,-0.299,0.323,0.323
(3) ML · All,med_money,-2.272,-2.227,0.064,0.16
(4) ML · Councillors,med_money,-2.085,-1.868,0.135,0.257
(1) CL · All,low_money,-0.919,-0.919,0.082,0.082
(2) CL · Councillors,low_money,-0.592,-0.592,0.286,0.286
(3) ML · All,low_money,-4.305,-5.894,0.018,0.031
(4) ML · Councillors,low_money,-8.649,-5.717,0.015,0.043
