"model","grouping","variable","coef","p","loglik"
"(1) CL All","card","dev_limited",4.26,0,-852.92
"(1) CL All","card","dev_high",4.553,0,-852.92
"(1) CL All","card","dev_com",4.112,0,-852.92
"(1) CL All","card","wat_med",-3.954,0,-852.92
"(1) CL All","card","wat_low",-6.135,0,-852.92
"(1) CL All","card","cult_s",-0.822,0.08,-852.92
"(1) CL All","card","cult_sl",-1.673,0.001,-852.92
"(1) CL All","card","lim_money",0.205,0.452,-852.92
"(1) CL All","card","res_money",0.699,0.018,-852.92
"(1) CL All","card","com_money",0.308,0.282,-852.92
"(1) CL All","card","med_money",-0.473,0.076,-852.92
"(1) CL All","card","low_money",-0.919,0.082,-852.92
"(2) CL Councillors","card","dev_limited",4.115,0,-646.98
"(2) CL Councillors","card","dev_high",4.545,0,-646.98
"(2) CL Councillors","card","dev_com",4.184,0,-646.98
"(2) CL Councillors","card","wat_med",-3.891,0,-646.98
"(2) CL Councillors","card","wat_low",-6.184,0,-646.98
"(2) CL Councillors","card","cult_s",-0.758,0.15,-646.98
"(2) CL Councillors","card","cult_sl",-1.85,0.001,-646.98
"(2) CL Councillors","card","lim_money",0.084,0.79,-646.98
"(2) CL Councillors","card","res_money",0.647,0.058,-646.98
"(2) CL Councillors","card","com_money",0.254,0.433,-646.98
"(2) CL Councillors","card","med_money",-0.299,0.323,-646.98
"(2) CL Councillors","card","low_money",-0.592,0.286,-646.98
"(1c) corrected All","occasion","dev_limited",2.235,0,-485.18
"(1c) corrected All","occasion","dev_high",2.337,0,-485.18
"(1c) corrected All","occasion","dev_com",2.174,0,-485.18
"(1c) corrected All","occasion","wat_med",-2.227,0,-485.18
"(1c) corrected All","occasion","wat_low",-3.818,0,-485.18
"(1c) corrected All","occasion","cult_s",-0.406,0.327,-485.18
"(1c) corrected All","occasion","cult_sl",-0.999,0.027,-485.18
"(1c) corrected All","occasion","lim_money",0.397,0.162,-485.18
"(1c) corrected All","occasion","res_money",0.836,0.007,-485.18
"(1c) corrected All","occasion","com_money",0.512,0.09,-485.18
"(1c) corrected All","occasion","med_money",-0.584,0.042,-485.18
"(1c) corrected All","occasion","low_money",-1.023,0.055,-485.18
"(2c) corrected Councillors","occasion","dev_limited",2.25,0.001,-372.22
"(2c) corrected Councillors","occasion","dev_high",2.403,0,-372.22
"(2c) corrected Councillors","occasion","dev_com",2.287,0,-372.22
"(2c) corrected Councillors","occasion","wat_med",-2.251,0,-372.22
"(2c) corrected Councillors","occasion","wat_low",-3.927,0,-372.22
"(2c) corrected Councillors","occasion","cult_s",-0.402,0.385,-372.22
"(2c) corrected Councillors","occasion","cult_sl",-1.138,0.024,-372.22
"(2c) corrected Councillors","occasion","lim_money",0.25,0.444,-372.22
"(2c) corrected Councillors","occasion","res_money",0.754,0.035,-372.22
"(2c) corrected Councillors","occasion","com_money",0.429,0.211,-372.22
"(2c) corrected Councillors","occasion","med_money",-0.364,0.263,-372.22
"(2c) corrected Councillors","occasion","low_money",-0.645,0.249,-372.22
