model,variable,paper_coef,paper_p,rep_coef,rep_se,rep_p,match,corr_coef,corr_se_cluster,corr_p_cluster,corr_p_model
(1) CL · All,Development: Limited,4.26,0.0,4.26,0.667,0.0,yes,2.235,0.658,0.001,0.0
(1) CL · All,Development: Residential,4.553,0.0,4.553,0.693,0.0,yes,2.337,0.587,0.0,0.0
(1) CL · All,Development: Commercial,4.112,0.0,4.112,0.518,0.0,yes,2.174,0.502,0.0,0.0
(1) CL · All,Water quality: Medium,-3.954,0.0,-3.954,0.342,0.0,yes,-2.227,0.323,0.0,0.0
(1) CL · All,Water quality: Low,-6.135,0.0,-6.135,0.52,0.0,yes,-3.818,0.467,0.0,0.0
(1) CL · All,Cultural: Stables,-0.822,0.08,-0.822,0.469,0.08,yes,-0.406,0.423,0.336,0.327
(1) CL · All,Cultural: Stables & landscape,-1.672,0.031,-1.673,0.516,0.001,coef,-0.999,0.412,0.015,0.027
(1) CL · All,Limited × $ shown,0.205,0.452,0.205,0.272,0.452,yes,0.397,0.363,0.273,0.162
(1) CL · All,Residential × $ shown,0.67,0.018,0.699,0.295,0.018,NO,0.836,0.404,0.039,0.007
(1) CL · All,Commercial × $ shown,0.308,0.282,0.308,0.286,0.282,yes,0.512,0.392,0.191,0.09
(1) CL · All,Medium water × $ shown,-0.473,0.076,-0.473,0.267,0.076,yes,-0.584,0.338,0.084,0.042
(1) CL · All,Low water × $ shown,-0.919,0.082,-0.919,0.528,0.082,yes,-1.023,0.622,0.1,0.055
(2) CL · Councillors,Development: Limited,4.114,0.0,4.115,0.756,0.0,yes,2.25,0.73,0.002,0.001
(2) CL · Councillors,Development: Residential,4.545,0.0,4.545,0.783,0.0,yes,2.403,0.636,0.0,0.0
(2) CL · Councillors,Development: Commercial,4.184,0.0,4.184,0.588,0.0,yes,2.287,0.561,0.0,0.0
(2) CL · Councillors,Water quality: Medium,-0.393,0.0,-3.891,0.393,0.0,NO,-2.251,0.361,0.0,0.0
(2) CL · Councillors,Water quality: Low,-0.602,0.0,-6.184,0.602,0.0,NO,-3.927,0.534,0.0,0.0
(2) CL · Councillors,Cultural: Stables,-0.758,0.15,-0.758,0.527,0.15,yes,-0.402,0.463,0.386,0.385
(2) CL · Councillors,Cultural: Stables & landscape,-1.85,0.001,-1.85,0.582,0.001,yes,-1.138,0.447,0.011,0.024
(2) CL · Councillors,Limited × $ shown,0.084,0.79,0.084,0.315,0.79,yes,0.25,0.422,0.554,0.444
(2) CL · Councillors,Residential × $ shown,0.647,0.058,0.647,0.341,0.058,yes,0.754,0.463,0.103,0.035
(2) CL · Councillors,Commercial × $ shown,0.254,0.433,0.254,0.325,0.433,yes,0.429,0.47,0.361,0.211
(2) CL · Councillors,Medium water × $ shown,-0.299,0.323,-0.299,0.302,0.323,yes,-0.364,0.386,0.346,0.263
(2) CL · Councillors,Low water × $ shown,-0.592,0.286,-0.592,0.556,0.286,yes,-0.645,0.66,0.329,0.249
