model,variable,paper_coef,paper_p,primary_coef,primary_se,primary_p,primary_sd,sens_median,sens_min,sens_max,paper_inside_range
(3) ML · All,Development: Limited,6.819,0.002,7.197,2.355,0.002,1.785,8.629,5.748,18.228,True
(3) ML · All,Development: Residential,6.259,0.006,6.778,2.269,0.003,2.28,7.531,5.176,14.761,True
(3) ML · All,Development: Commercial,6.387,0.002,6.581,1.914,0.001,0.593,7.663,5.194,14.515,True
(3) ML · All,Water quality: Medium,-7.324,0.0,-7.554,1.99,0.0,3.469,-9.029,-15.829,-6.372,True
(3) ML · All,Water quality: Low,-14.95,0.0,-14.589,4.337,0.001,5.81,-18.142,-37.837,-12.497,True
(3) ML · All,Cultural: Stables,-1.239,0.294,-1.747,1.322,0.186,3.733,-1.966,-6.661,-0.168,True
(3) ML · All,Cultural: Stables & landscape,-2.765,0.08,-2.954,1.481,0.046,4.924,-3.368,-9.103,-1.924,True
(3) ML · All,Limited × $ shown,1.29,0.187,1.74,1.139,0.126,0.878,1.96,1.231,5.032,True
(3) ML · All,Residential × $ shown,3.222,0.015,2.976,1.441,0.039,1.961,3.896,2.515,7.725,True
(3) ML · All,Commercial × $ shown,1.754,0.082,1.521,1.036,0.142,2.439,1.924,1.217,4.059,True
(3) ML · All,Medium water × $ shown,-2.272,0.064,-1.656,1.259,0.188,0.364,-2.067,-5.461,-1.436,True
(3) ML · All,Low water × $ shown,-4.305,0.018,-6.978,3.031,0.021,5.176,-6.79,-13.545,-3.646,True
(4) ML · Councillors,Development: Limited,6.878,0.011,10.181,4.899,0.038,2.668,13.84,7.13,25.296,False
(4) ML · Councillors,Development: Residential,6.554,0.013,8.707,4.176,0.037,0.278,13.295,6.698,25.026,False
(4) ML · Councillors,Development: Commercial,6.663,0.005,8.603,3.799,0.024,0.303,13.69,6.528,23.486,True
(4) ML · Councillors,Water quality: Medium,-7.578,0.0,-10.15,4.485,0.024,4.409,-14.29,-26.866,-7.023,True
(4) ML · Councillors,Water quality: Low,-19.02,0.001,-20.23,10.657,0.058,8.09,-29.483,-52.458,-14.846,True
(4) ML · Councillors,Cultural: Stables,-2.131,0.244,-2.872,2.077,0.167,4.241,-3.818,-9.04,-1.955,True
(4) ML · Councillors,Cultural: Stables & landscape,-2.366,0.164,-4.182,2.423,0.084,6.326,-6.676,-13.744,-3.011,False
(4) ML · Councillors,Limited × $ shown,2.65,0.109,1.445,1.669,0.386,0.173,2.593,0.646,5.689,True
(4) ML · Councillors,Residential × $ shown,3.45,0.062,4.119,2.695,0.126,4.594,5.604,2.117,10.022,True
(4) ML · Councillors,Commercial × $ shown,2.225,0.166,1.939,1.675,0.247,3.436,2.485,-0.921,6.447,True
(4) ML · Councillors,Medium water × $ shown,-2.085,0.135,-1.359,1.811,0.453,0.874,-2.528,-6.055,0.043,True
(4) ML · Councillors,Low water × $ shown,-8.649,0.015,-3.053,3.505,0.384,3.129,-6.266,-29.304,-2.442,True
